Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
14317,MOLDE PARA HELADO X4,"6,500.00",0.00,,UNIDAD,
14318,MOLDES PLASTICOS X6,"1,800.00",0.00,,UNIDAD,
1432,BOLSAS PARA FREEZER MEDIANAS X10U 25X35,"1,900.00",0.00,,UNIDAD,
14320,CORTANTE LETRAS MEDIANA COOPER,"9,500.00",0.00,,UNIDAD,
143200,SELLO P/GALLETITAS MINUSCULA LA BOTICA,"6,900.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
143201,ESTEKAS PARA MODELAR,"5,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143202,ESPATULA DE SILICONA 21CM,"3,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143203,PINCEL DE SILICONA 21 CM,"3,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143204,PINCEL SILICONADO 16CM COLORES,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143206,MINI SOPLETE CANDELA,"6,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143207,SET CORTANTES ACERO X5 FORMAS,"3,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143208,RALLADOR DE ACERO,"5,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143209,VASO MEDIDOR PLASTICO 350CC,"1,900.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
14321,CORTANTES LETRAS GRANDE X26,"14,900.00",0.00,,UNIDAD,
143210,REPUESTO DE GAS BUTANO 405ML,"3,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143211,SELLO PARA GALLETA COOKIES LETRAS Y NUMEROS,"3,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143213,REPUESTO DE SOPLETE PARA REPOSTERIA,"7,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
143215,SORRENTINO PLASTICO X 8 COOPER,"3,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
14322,RODILLO MIMBRE CHICO,"9,950.00",0.00,,UNIDAD,
14323,PALO AMASAR ANTIADHERENTE 20 CM.,"11,000.00",0.00,,UNIDAD,
14324,PALO DE AMASAR FIJO MADERA 30CM HEMMY,"9,000.00",0.00,,UNIDAD,
14325,ARMADORES DE FLORES 12U,"4,500.00",0.00,,UNIDAD,
14326,FRATACHO MEDIANO COOPER,"4,900.00",0.00,,UNIDAD,
14327,EYECTOR DECORADOR C/16 MODELOS INTERCAMBIABLES,"8,900.00",0.00,,UNIDAD,
14328,RASQUETA ACERO CON AGARRE 8CM,"5,000.00",0.00,,UNIDAD,
14329,SCRAPER MINI P/WAVE CAKES N°1,"2,900.00",0.00,,UNIDAD,
1433,LAMINA PARA COCCION X10U 45X90,"2,400.00",0.00,,UNIDAD,
14330,RASQUETA ACERO CON AGARRE 12 CM,"5,300.00",0.00,,UNIDAD,
143300,ESPATULA DE METAL C/ESCALON 20CM METALICA,"4,500.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
14331,PLATO PLAST.PARA TORTA REPOSTERO 17 CM.,"1,800.00",0.00,,UNIDAD,
14332,PLATO PLAST.PARA TORTA REPOSTERO 19 CM.,"2,200.00",0.00,,UNIDAD,
14333,PLATO PLAST.PARA TORTA REPOSTERO 21CM.,"2,400.00",0.00,,UNIDAD,
14334,PLATO PLAST.PARA TORTA REPOSTERO 23CM.,"2,700.00",0.00,,UNIDAD,
